LocationID,PlantAccountDepartment,Territory,dlvr_name,dlvr_Addr,dlvr_city,dlvr_state,dlvr_Zip,WeeksVisited,DaysVisited,AmountPerCycle,stop_sequence_1,stop_sequence_2,stop_sequence_3,stop_sequence_4,stop_sequence_5,stop_sequence_6,stop_sequence_7,lbs,avg_wkly_volume1,latitude,longitude,CycleVolume,GarmentChanges,AccountTypeID,Plant,DeliveryID
291132,2502-000000-00,2502-05,SC-Corp Yard - Shop,4413 Eastside Rd,Redding,CA,96001,XX,T,2,0,421,0,0,0,0,0,89,$73,40.551540,-122.386780,$147,92,T,2502,108372
295194,2502-000000-00,2502-05,Big O Tires,377 E. Cypress,Redding,CA,96002,XX,M,2,10,0,0,0,0,0,0,137,$359,40.570530,-122.365730,$717,277,T,2502,112123
318368,2502-000000-00,2502-05,Dan Palmer Trucking,7211 Sands Lane,Anderson,CA,96007,XX,T,2,0,1,0,0,0,0,0,0,$157,40.495940,-122.375840,$313,30,I,2502,133765
319476,2502-000000-00,2502-05,Shasta Lake Electric,3570 Iron Court,Shasta Lake,CA,96019, X,R,1,0,0,0,1,0,0,0,0,$14,40.657330,-122.384330,$14,0,I,2502,134797
257247,2502-054620-00,2502-05,COR Solid Waste Lunch Rm,2255 Abernathy Ln,Redding,CA,960038057,XX,F,2,0,0,0,0,80,0,0,90,$22,40.575298,-122.314789,$44,0,I,2502,35715
170691,2502-055754-00,2502-05,Good News - Kitchen,2842 S Market St,Redding,CA,96001-3215,XX,M,2,15,0,0,0,0,0,0,27,$142,40.570068,-122.388138,$284,0,I,2502,35740
170698,2502-056106-00,2502-05,Outdoor Creations,2270 Barney Rd,Anderson,CA,96007-4305,XX,W,2,0,0,130,0,0,0,0,73,$266,40.442768,-122.289993,$531,40,I,2502,35755
209405,2502-056536-00,2502-05,PG&E Rdg Gc Line,3600 Meadow View Dr,Redding,CA,960029701,XX,W,2,0,0,20,0,0,0,0,40,$50,40.498389,-122.304417,$100,0,I,2502,35765
257379,2502-056702-00,2502-05,COR Stillwater Treatmentrdg,6475 Airport Road,Anderson,CA,96007,XX,W,2,0,0,40,0,0,0,0,86,$41,40.475469,-122.286801,$83,33,I,2502,35770
171215,2502-122479-00,2502-05,Cascade Un Em Trans,1645 Mill St,Anderson,CA,96007-3226,XX,W,2,0,0,70,0,0,0,0,15,$53,40.447774,-122.306804,$105,30,I,2502,36213
291130,2502-000000-00,2502-05,SC-Corp Yard - Roads,4363 Eastside Rd,Redding,CA,96001,XX,T,2,0,420,0,0,0,0,0,108,$196,40.551060,-122.386250,$391,289,T,2502,108370
298852,2502-000000-00,2502-05,Portside Fish & Chips,1804 State Highway 273,Anderson,CA,96007,XX,W,2,0,0,159,0,0,0,0,0,$28,40.437470,-122.290520,$56,0,T,2502,115513
300828,2502-000000-00,2502-05,SC- Mental Health,2640 Breslauer Way,Redding,CA,96001,XX,T,2,0,405,0,0,0,0,0,0,$109,40.549790,-122.381670,$219,0,T,2502,117330
313829,2502-000000-00,2502-05,Shasta College Food Services,11555 Old Oregon Trail,Redding,CA,96003,XX,F,2,0,0,0,0,1,0,0,0,$5,40.623460,-122.319600,$10,0,T,2502,129624
314701,2502-000000-00,2502-05,Mike's Heating and Air,19833 Riverside Avenue,Anderson,CA,96007,XX,T,2,0,1,0,0,0,0,0,0,$54,40.469680,-122.319290,$107,40,T,2502,130421
317105,2502-000000-00,2502-05,Grand Oaks Elementary - Cafeteria,5309 Grand Avenue,Shasta Lake,CA,96019,XX,R,2,0,0,0,1,0,0,0,0,$5,40.682850,-122.351340,$11,0,I,2502,132590
202242,2502-051331-00,2502-05,Redding Drywall,1410 Beltline Rd,Redding,CA,96003-1410, X,M,1,170,0,0,0,0,0,0,10,$17,40.625992,-122.388344,$17,0,I,2502,35535
257245,2502-054157-00,2502-05,COR Clear Crk Treat Plant Rdg,2220 Metz Rd,Redding,CA,960079478,XX,T,2,0,180,0,0,0,0,0,34,$79,40.500240,-122.371219,$157,122,I,2502,35705
212636,2502-112553-10,2502-05,Antler's Resort - Seasonal,20679 Antlers Rd,Lakehead,CA,96051,XX,R,2,0,0,0,1,0,0,0,0,$51,40.892093,-122.376253,$102,0,I,2502,35943
200421,2502-333228-00,2502-05,BPS Supply Group,5040 Mountain Lakes Blvd,Redding,CA,96003-1457,XX,M,2,204,0,0,0,0,0,0,9,$22,40.629082,-122.373940,$44,5,I,2502,36392
265021,2502-000000-00,2502-05,APEX Automotive,19841 Hirsch Ct,Anderson,CA,960074910,XX,T,2,0,100,0,0,0,0,0,65,$136,40.466728,-122.317749,$272,30,I,2502,84960
265578,2502-000000-00,2502-05,Big Valley Sanitation,5551 Eastside Rd,Redding,CA,96001,XX,M,2,1,0,0,0,0,0,0,256,$201,40.534910,-122.383660,$402,11,I,2502,85356
271698,2502-000000-00,2502-05,Steve Manning Construction,4977 Mountain Lakes Blvd,Redding,CA,960031456,XX,M,2,165,0,0,0,0,0,0,0,$87,40.629440,-122.376488,$174,17,T,2502,90237
273691,2502-000000-00,2502-05,FN - IPS Oak Mesa,1870 Oak Mesa Ln,Redding,CA,960039610,XX,F,2,0,0,0,0,100,0,0,370,$384,40.580810,-122.330420,$768,0,T,2502,91920
279644,2502-000000-00,2502-05,7 Eleven,3100 North Street,Anderson,CA,96007,XX,W,2,0,0,43,0,0,0,0,63,$36,40.467090,-122.295290,$73,0,T,2502,97543
284030,2502-000000-00,2502-05,Premier Towing,6076 CA - 273,Anderson,CA,96007, Y,W,0,0,0,60,0,0,0,0,5,$17,40.464250,-122.322750,$0,0,T,2502,101668
288196,2502-000000-00,2502-05,Gold Hills Golf Club,"1950 Gold Hills Dr,",Redding,CA,96003,XX,F,2,0,0,0,0,10,0,0,51,$95,40.635890,-122.355720,$190,6,T,2502,105600
313946,2502-000000-00,2502-05,Mittry Construction,4850 Caterpillar Road,Redding,CA,96003,XX,R,2,0,0,0,19,0,0,0,0,$37,40.626010,-122.378120,$75,0,T,2502,129736
317008,2502-000000-00,2502-05,Voorwood,2350 Barney Road,Anderson,CA,96007,XX,W,2,0,0,1,0,0,0,0,0,$88,40.443410,-122.291550,$175,0,I,2502,132501
317097,2502-000000-00,2502-05,Gateway Unified School District,4411 Mountain Lakes Boulevard,Redding,CA,96003,XX,R,2,0,0,0,1,0,0,0,0,$29,40.630660,-122.387870,$58,0,I,2502,132583
257359,2502-052462-00,2502-05,COR Solid Waste Hazard Rdg,2255 Abernathy Ln,Redding,CA,960038057,XX,F,2,0,0,0,0,77,0,0,10,$5,40.575298,-122.314789,$10,5,I,2502,35655
247561,2502-057400-40,2502-05,Shasta Lake Motor Pool,4448 Red Bluff Street,Shasta Lake,CA,96019, X,R,1,0,0,0,11,0,0,0,19,$30,40.683894,-122.366326,$30,5,I,2502,35783
257021,2502-058100-00,2502-05,Hansens Pressure Washer,3035 Twin View Blvd,Shasta Lake,CA,960192324,XX,R,2,0,0,0,7,0,0,0,44,$62,40.659119,-122.357117,$125,10,I,2502,35813
189813,2502-059044-00,2502-05,Clear Creek Grocery,7036 Westside Rd,Redding,CA,96001-5217,XX,T,2,0,40,0,0,0,0,0,50,$34,40.513111,-122.381203,$68,0,I,2502,35843
262271,2502-757145-00,2502-05,Nor Cal Rewinding,4773 Mountain Lakes Blvd,Redding,CA,960031452,XX,M,2,155,0,0,0,0,0,0,23,$37,40.632141,-122.379356,$75,10,I,2502,36625
275549,2502-000000-00,2502-05,SCOE Transportation Bus Maintenance,3169 S Market St,Redding,CA,960013533,XX,M,2,50,0,0,0,0,0,0,48,$64,40.567318,-122.387840,$129,30,T,2502,93668
285690,2502-000000-00,2502-05,Grocery Outlet,1981 Hwy 273,Anderson,CA,96007,XX,W,2,0,0,165,0,0,0,0,57,$100,40.439030,-122.291410,$200,0,T,2502,103260
316069,2502-000000-00,2502-05,Tierra Oaks Golf Club,19700 La Crescenta Drive,Redding,CA,96003,XX,F,2,0,0,0,0,1,0,0,0,$158,40.671240,-122.326500,$316,0,T,2502,131651
317104,2502-000000-00,2502-05,Grand Oaks Elementary,5309 Grand Avenue,Shasta Lake,CA,96019,XX,R,2,0,0,0,1,0,0,0,0,$82,40.682850,-122.351340,$163,0,I,2502,132589
252235,2502-055754-50,2502-05,Good News - D/S,2842 S Market St,Redding,CA,960013215,XX,M,2,45,0,0,0,0,0,0,0,$0,40.570324,-122.388094,$0,0,I,2502,35743
227908,2502-121050-00,2502-05,Panda Express#1522,5000 Rhonda Rd,Anderson,CA,960070000,XX,W,2,0,0,155,0,0,0,0,23,$40,40.431500,-122.290070,$81,0,T,2502,36151
171779,2502-757296-00,2502-05,Giff's Restaurant,2827 Bechelli Ln,Redding,CA,96002-1922,XX,M,2,100,0,0,0,0,0,0,34,$18,40.566219,-122.362694,$36,0,T,2502,36627
279042,2502-000000-00,2502-05,COR Elect. Tech C.Creek,2220 Metz Rd,Redding,CA,96001,XX,T,2,0,181,0,0,0,0,0,0,$5,40.503350,-122.367770,$10,5,T,2502,96978
280322,2502-000000-00,2502-05,V F W Post 9650,3210 W. Center Street,Anderson,CA,96007,XX,W,2,0,0,65,0,0,0,0,43,$23,40.451720,-122.303640,$47,0,T,2502,98188
313288,2502-000000-00,2502-05,Plumas Bank,2727 Ventura Street,Anderson,CA,96007,X ,W,1,0,0,1,0,0,0,0,0,$30,40.451700,-122.292400,$30,0,T,2502,129113
320233,2502-000000-00,2502-05,Club Tucker,6241 Churn Creek Road,Redding,CA,96002, X,W,1,0,0,1,0,0,0,0,0,$32,40.481840,-122.302510,$32,0,I,2502,135502
324443,2502-000000-00,2502-05,Vic Hannan Landscape Materials,7086 CA-273,Anderson,CA,96007,XX,T,2,0,1,0,0,0,0,0,0,$18,40.490897,-122.361359,$35,0,T,2502,139423
325240,2502-000000-00,2502-05,Cal Fire,875 Cypress Avenue,Redding,CA,96001,XX,M,2,1,0,0,0,0,0,0,0,$0,40.574460,-122.383377,$0,49,I,2502,140188
325484,2502-000000-00,2502-05,Waffle Bite,6400 Westside Road,Redding,CA,96001,XX,T,2,0,1,0,0,0,0,0,0,$0,40.521436,-122.382591,$0,0,T,2502,140419
218696,2502-050917-00,2502-05,Shasta Gateway Center,1699 State Highway 273,Anderson,CA,96007-4282,XX,W,2,0,0,160,0,0,0,0,18,$28,40.436154,-122.289558,$56,0,I,2502,35520
257244,2502-053962-00,2502-05,COR West Central Landfill Rdg,14095 Clear Creek Rd,Redding,CA,96047,XX,T,2,0,37,0,0,0,0,0,75,$53,40.490304,-122.539254,$107,50,I,2502,35698
257361,2502-056206-00,2502-05,COR Solid Waste Welding Rdg,2255 Abernathy Ln,Redding,CA,960038057,XX,F,2,0,0,0,0,79,0,0,6,$153,40.575298,-122.314789,$306,217,I,2502,35762
257362,2502-057034-00,2502-05,COR Rdg Power Plant Maint,17120 Clear Creek Rd,Redding,CA,960015107,XX,T,2,0,35,0,0,0,0,0,7,$21,40.503159,-122.422958,$43,7,I,2502,35775
170857,2502-112315-00,2502-05,Dr.S Schalo & Bigelow,2315 Bechelli Ln,Redding,CA,96002-0120,XX,M,2,105,0,0,0,0,0,0,14,$83,40.573399,-122.362793,$167,1,T,2502,35926
222251,2502-113586-00,2502-05,Mission Square Poa,2827 Bechelli Ln,Redding,CA,96002-1922, X,M,1,101,0,0,0,0,0,0,8,$33,40.566278,-122.362690,$33,0,I,2502,35970
171161,2502-121499-00,2502-05,Fedex Ground,1497 George Dr,Redding,CA,96003-1461,X ,M,1,210,0,0,0,0,0,0,26,$50,40.628590,-122.372994,$50,0,I,2502,36171
266971,2502-000000-00,2502-05,Northern CA Charging System,1410 Beltline Rd,Redding,CA,960031410,XX,M,2,150,0,0,0,0,0,0,5,$26,40.625992,-122.388344,$53,15,I,2502,86394
272700,2502-000000-00,2502-05,Lake Shasta FS - D/S Seasonal Hold,20359 Shasta Caverns Rd,Lakehead,CA,960519677,XX,R,2,0,0,0,1,0,0,0,0,$0,40.804392,-122.304218,$0,0,T,2502,91041
275550,2502-000000-00,2502-05,SCOE Transportation Office,3169 S Market St,Redding,CA,960013533,XX,M,2,55,0,0,0,0,0,0,50,$25,40.567318,-122.387840,$50,0,T,2502,93669
288421,2502-000000-00,2502-05,Shasta Baptist,6600 Westside Rd,Redding,CA,96001,X ,T,1,0,210,0,0,0,0,0,10,$23,40.519120,-122.383290,$23,0,T,2502,105808
291360,2502-000000-00,2502-05,Sierra Pacific Industries,19794 Riverside Drive,Anderson,CA,96007,Y ,W,0,0,0,55,0,0,0,0,80,$71,40.469130,-122.288260,$0,0,T,2502,108592
317103,2502-000000-00,2502-05,Shasta Lake Middle School,4620 Vallecito Street,Shasta Lake,CA,96019,XX,R,2,0,0,0,1,0,0,0,0,$125,40.673460,-122.363230,$250,0,I,2502,132588
319710,2502-000000-00,2502-05,Singh Mobile Services,6100 State Highway 273,Anderson,CA,96007,XX,T,2,0,1,0,0,0,0,0,0,$30,40.465530,-122.324530,$60,4,I,2502,135018
257625,2502-052386-00,2502-05,Lake Shasta Cruise - Seasonal hold,20359 Shasta Caverns Rd,Lakehead,CA,960519677,XX,R,2,0,0,0,1,0,0,0,0,$142,40.804394,-122.304215,$284,0,T,2502,35653
225428,2502-052686-00,2502-05,Tri Co. Bank  #481,2686 Gateway Dr,Anderson,CA,96007-3530,X ,W,1,0,0,110,0,0,0,0,14,$37,40.452572,-122.288773,$37,0,I,2502,35663
171122,2502-120981-00,2502-05,Miniature Precision,4488 Mountain Lakes Blvd Ste A,Redding,CA,96003-1445, X,M,1,260,0,0,0,0,0,0,27,$48,40.631370,-122.386169,$48,9,I,2502,36147
171235,2502-124038-00,2502-05,Canned Food Co.,2235 Churn Creek Rd,Redding,CA,96002-0731,XX,M,2,15,0,0,0,0,0,0,32,$72,40.574994,-122.353094,$144,0,I,2502,36247
171309,2502-127699-00,2502-05,Leckey,4963 Mountain Lakes Blvd,Redding,CA,96003-1456,X ,M,1,160,0,0,0,0,0,0,2,$41,40.629822,-122.376869,$41,8,I,2502,36325
279039,2502-000000-00,2502-05,COR Elect. Tech BLD 3,20055 Viking Way Building #4,Redding,CA,96003,XX,F,2,0,0,0,0,71,0,0,0,$36,40.577420,-122.312440,$72,30,T,2502,96975
322069,2502-000000-00,2502-05,Bettendorf Trucking,20943 Bettendorf Way,Anderson,CA,96007,XX,W,2,0,0,1,0,0,0,0,0,$105,40.425610,-122.276150,$211,45,T,2502,137208
257624,2502-052341-00,2502-05,Lake Shasta Caverns - Seasonal hold,20359 Shasta Caverns Rd,Lakehead,CA,960519677,XX,R,2,0,0,0,1,0,0,0,13,$55,40.804394,-122.304215,$110,0,I,2502,35652
257246,2502-054330-00,2502-05,COR Municipal Utilities Rdg,"20055 Viking Way, Bldg 3",Redding,CA,960038295,XX,F,2,0,0,0,0,73,0,0,70,$8,40.578331,-122.312401,$17,0,I,2502,35707
257360,2502-056091-00,2502-05,COR Fleet Shop City Redding,20055 Viking Way,Redding,CA,960038295,XX,F,2,0,0,0,0,65,0,0,144,$159,40.578331,-122.312401,$318,176,I,2502,35754
257250,2502-057022-00,2502-05,COR Redding Power Plant,17120 Clear Creek Rd,Redding,CA,960015107,XX,T,2,0,36,0,0,0,0,0,3,$27,40.503159,-122.422958,$55,11,I,2502,35774
251546,2502-057400-70,2502-05,Shasta Lake Law Enforce,4448 Red Bluff Street,Shasta Lake,CA,96019, X,R,1,0,0,0,14,0,0,0,9,$52,40.683894,-122.366326,$52,0,I,2502,35786
170870,2502-112553-00,2502-05,Antler's Resort - Seasonal,20679 Antlers Rd,Lakehead,CA,96051,XX,R,2,0,0,0,1,0,0,0,0,$510,40.892093,-122.376253,"$1,020",0,T,2502,35942
257411,2502-756327-00,2502-05,Commercial Landscapeserv,2780 Tarmac Rd,Redding,CA,96003-9307,XX,F,2,0,0,0,0,90,0,0,0,$70,40.571041,-122.318581,$140,60,I,2502,36613
271765,2502-000000-00,2502-05,COR Electric Utility,"20055 Viking Way, Bldg 2",Redding,CA,960038295,XX,F,2,0,0,0,0,70,0,0,124,$58,40.578339,-122.312401,$116,12,T,2502,90294
299393,2502-000000-00,2502-05,EZ Auto Care,2778 Tarmac Road,Redding,CA,96003,XX,F,2,0,0,0,0,91,0,0,0,$40,40.571400,-122.319030,$80,10,I,2502,116007
314459,2502-000000-00,2502-05,Crafco,2300 Barney Road,Anderson,CA,96007,XX,W,2,0,0,1,0,0,0,0,0,$57,40.443020,-122.291340,$115,31,I,2502,130197
316033,2502-000000-00,2502-05,White Rock Trucking Inc.,7065 Aviator Lane,Redding,CA,96002,XX,W,2,0,0,1,0,0,0,0,0,$125,40.493590,-122.286450,$249,30,I,2502,131619
325439,2502-000000-00,2502-05,Happy Valley Fire Center, Canyon Road,Redding,CA,96001,XX,T,2,0,1,0,0,0,0,0,0,$0,40.505663,-122.379485,$0,5,T,2502,140377
170657,2502-054070-00,2502-05,Columbia School Kitchen ,10142 Old Oregon Trl,Redding,CA,96003-7995,XX,F,2,0,0,0,0,35,0,0,18,$36,40.582458,-122.307338,$72,0,T,2502,35701
247367,2502-057400-50,2502-05,Shasta Lake - D/S,4777 Main Street,Shasta Lake,CA,96019, X,R,1,0,0,0,11,0,0,0,0,$0,40.682070,-122.360256,$0,0,I,2502,35784
257402,2502-114141-00,2502-05,COR Fire Dept Headquarterdg,777 Cypress Ave,Redding,CA,960012718,XX,M,2,70,0,0,0,0,0,0,71,$24,40.574150,-122.379921,$49,0,I,2502,35982
274314,2502-000000-00,2502-05,Shasta Lake Pizza Factory,4432 Shasta Dam Blvd,Shasta Lake,CA,960199418,XX,R,2,0,0,0,12,0,0,0,40,$40,40.680550,-122.365960,$79,0,I,2502,92503
300204,2502-000000-00,2502-05,Coburn's Asphalt,6100 State Highway 273,Anderson,CA,96007,XX,T,2,0,1,0,0,0,0,0,0,$48,40.465532,-122.324534,$95,30,T,2502,116755
307256,2502-000000-00,2502-05,Cascade Comfort,5203 Industrial Way,Anderson,CA,96007,XX,T,2,0,130,0,0,0,0,0,0,$32,40.467010,-122.320670,$64,36,T,2502,123465
309166,2502-000000-00,2502-05,Mulligans Bar & Grill,6241 Churn Creek Road,Redding,CA,96002,XX,W,2,0,0,37,0,0,0,0,0,$42,40.481840,-122.302510,$84,0,T,2502,125266
317099,2502-000000-00,2502-05,Mountain Lakes High School,17752  Shasta Dam Boulevard,Shasta Lake,CA,96019,XX,R,2,0,0,0,1,0,0,0,0,$48,40.680050,-122.350750,$96,0,I,2502,132586
317168,2502-000000-00,2502-05,Freightliner Northwest,4991 Caterpillar Road,Redding,CA,96003,XX,R,2,0,0,0,18,0,0,0,208,$344,40.625100,-122.375650,$688,157,T,2502,132648
317564,2502-000000-00,2502-05,Pizza Factory,536 North Market Street,Redding,CA,96003,XX,M,2,1,0,0,0,0,0,0,0,$37,40.598050,-122.385790,$74,0,T,2502,133020
248056,2502-058996-00,2502-05,Clayton's Towing,6100 CA-273,Anderson,CA,96007, X,W,1,0,0,1,0,0,0,0,10,$13,40.465660,-122.323807,$13,8,I,2502,35839
237369,2502-111000-00,2502-05,Institute Of Tech,1755 Hilltop Dr,Redding,CA,96002-0250,XX,M,2,120,0,0,0,0,0,0,148,$54,40.581410,-122.357773,$108,0,T,2502,35884
171138,2502-121200-00,2502-05,Lanny's Engines,10085 Limerick Ln,Redding,CA,96003-7979,XX,F,2,0,0,0,0,51,0,0,4,$33,40.580988,-122.316044,$67,3,I,2502,36156
257334,2502-124148-00,2502-05,COR Fire Station #6 Rdg,4201 Oasis Rd,Redding,CA,96003,XX,F,2,0,0,0,0,3,0,0,119,$50,40.633499,-122.390770,$100,0,I,2502,36250
264236,2502-000000-00,2502-05,Anderson Automotive,2966 Oak St,Anderson,CA,960073588,XX,W,2,0,0,45,0,0,0,0,21,$144,40.453190,-122.296562,$287,80,I,2502,84451
267518,2502-000000-00,2502-05,Institute Of Tech - D/S,1755 Hilltop Dr,Redding,CA,960020250,XX,M,2,120,0,0,0,0,0,0,0,$0,40.581322,-122.357780,$0,0,I,2502,86816
300994,2502-000000-00,2502-05,SC- Mental Heath DS,2640 Breslauer Way,Redding,CA,96001,XX,T,2,0,406,0,0,0,0,0,0,$0,40.549790,-122.381670,$0,0,T,2502,117476
311254,2502-000000-00,2502-05,RSM,5934 Brenda Lane,Anderson,CA,96007,XX,W,2,0,0,120,0,0,0,0,0,$23,40.459620,-122.267530,$46,15,T,2502,127229
317108,2502-000000-00,2502-05,Buckeye School of Arts - Cafeteria,3407 Hiatt Drive,Redding,CA,96003,XX,F,2,0,0,0,0,1,0,0,0,$20,40.630040,-122.403140,$40,0,I,2502,132593
317516,2502-000000-00,2502-05,Rental Guys,4055 Eastside Road,Redding,CA,96001,XX,M,2,1,0,0,0,0,0,0,0,$120,40.557220,-122.387240,$239,20,I,2502,132976
170640,2502-053037-00,2502-05,Phil's Propeller,3037 Twin View Blvd,Shasta Lake,CA,96019-2324,XX,R,2,0,0,0,5,0,0,0,7,$34,40.658710,-122.357323,$68,4,I,2502,35679
247560,2502-057400-30,2502-05,Shasta Lake Public Works,4332 Vallecito Street,Shasta Lake,CA,96019, Y,R,0,0,0,0,11,0,0,0,13,$11,40.673196,-122.367450,$0,0,I,2502,35782
257332,2502-116114-00,2502-05,COR Civic Center,777 Cypress Ave,Redding,CA,960012718,XX,M,2,90,0,0,0,0,0,0,90,$21,40.574150,-122.379921,$42,0,I,2502,36027
